Electricity:Facility,ElectricityProduced:Facility,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
13.8462,15.2196,0.0,0.0,0.0,0,1.0,,0,0,0,15.2196,0.0,13.8462,1.37343,,0,0,0,909.104902,0,0,0,0,0,0,0,0,0,0
38.0733,13.8449,23.3774,0.0,0.851006,0,0.279196306704135,,0,0,0,13.8449,0.0,13.8449,0.0,,0,0,0,658.291618,0,0,0,0,0,0,0,0,0,0
0.148367,10.6643,0.0,0.0,0.0,0,1.0,,0,0,0,10.6643,0.947077,0.148367,9.56887,,0,0,0,629.1770225,0,0,0,0,0,0,0,0,0,0
7.44611,6.08188,0.81424,0.0,0.549985,0,0.534160578081092,,0,0,0,6.08188,0.0,6.08188,0.0,,0,0,0,701.4460033,0,0,0,0,0,0,0,0,0,0
0.708425,1.3205,0.0,0.0,0.0,0,1.0,,0,0,0,1.3205,0.612073,0.708425,0.0,,0,0,0,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,10.1952,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,0.15212,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,0.112721,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,37.7199,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,33.644,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,29.2873,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.3788,0.0,28.3788,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.2316,0.0,28.2316,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
18.1469,0.0,18.1469,0.0,0.0,0,1.0,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
18.1821,0.566703,17.6154,0.0,0.0,0,1.0,,0,0,0,0.566703,0.0,0.566703,0.0,,0,0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
13.1658,3.31887,9.84693,0.0,0.0,0,1.0,,0,0,0,3.31887,0.0,3.31887,0.0,,0,0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
12.5835,11.9902,0.593266,0.0,0.0,0,1.0,,0,0,0,11.9902,0.0,11.9902,0.0,,0,0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
14.0289,11.8411,2.1878,0.0,0.0,0,1.0,,0,0,0,11.8411,0.0,11.8411,0.0,,0,0,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.8462,12.9935,0.852713,0.0,0.0,0,1.0,,0,0,0,12.9935,0.0,12.9935,0.0,,0,0,0,909.104902,0,0,0,0,0,0,0,0,0,0
38.0733,4.50651,32.7158,0.0,0.851006,0,0.279196306704135,,0,0,0,4.50651,0.0,4.50651,0.0,,0,0,0,658.291618,0,0,0,0,0,0,0,0,0,0
0.148367,2.10683,0.0,0.0,0.0,0,1.0,,0,0,0,2.10683,0.947077,0.148367,1.01139,,0,0,0,629.1770225,0,0,0,0,0,0,0,0,0,0
7.44611,6.00596,0.924273,0.0,0.515874,0,0.563052589321558,,0,0,0,6.00596,0.0,6.00596,0.0,,0,0,0,701.4460033,0,0,0,0,0,0,0,0,0,0
0.708425,1.28254,0.0,0.0,0.0,0,1.0,,0,0,0,1.28254,0.574112,0.708425,0.0,,0,0,0,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,9.51553,0.0,0.679668,0,0.424319550381373,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,0.0,0.0,0.15212,0,0.295474106784424,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,0.0,0.0,0.112721,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,37.7199,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,33.644,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,29.2873,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.3788,0.0,28.3788,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.2316,0.0,28.2316,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
18.1469,0.0,18.1469,0.0,0.0,0,0.199999197109595,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
18.1821,4.24891,13.9332,0.0,0.0,0,0.199999197109595,,0,0,0,4.24891,0.0,4.24891,0.0,,0,0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
13.1658,8.21854,4.94726,0.0,0.0,0,0.199999197109595,,0,0,0,8.21854,0.0,8.21854,0.0,,0,0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
12.5835,7.24241,5.34109,0.0,0.0,0,0.199999197109595,,0,0,0,7.24241,0.0,7.24241,0.0,,0,0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
14.0289,12.4946,1.53433,0.0,0.0,0,0.199999197109595,,0,0,0,12.4946,0.0,12.4946,0.0,,0,0,0,907.3467985,0,0,0,0,0,0,0,0,0,0
13.8462,13.4951,0.351086,0.0,0.0,0,0.199999197109595,,0,0,0,13.4951,0.0,13.4951,0.0,,0,0,0,909.104902,0,0,0,0,0,0,0,0,0,0
38.0733,12.0255,26.0478,0.0,0.0,0,0.199999197109595,,0,0,0,12.0255,0.0,12.0255,0.0,,0,0,0,658.291618,0,0,0,0,0,0,0,0,0,0
0.148367,10.5206,0.0,0.0,0.0,0,0.92080289040546,,0,0,0,10.5206,0.947077,0.148367,9.42516,,0,0,0,629.1770225,0,0,0,0,0,0,0,0,0,0
7.44611,5.98969,1.45642,0.0,0.0,0,0.92080289040546,,0,0,0,5.98969,0.0,5.98969,0.0,,0,0,0,701.4460033,0,0,0,0,0,0,0,0,0,0
0.708425,0.79718,0.0,0.0,0.0,0,0.98835006021678,,0,0,0,0.79718,0.0887547,0.708425,0.0,,0,0,0,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,10.1952,0.0,0.0,0,0.98835006021678,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
